Original Title,Link,Original Description,Publication Date,Original Language,Category,Subcategory,Location,Translated Title,Translated Description,Entity,Count,Latitude,Longitude,Country,Sadness,Joy,Surprise,Anticipation,Fear,Anger,Trust,Disgust,Entity_all
Goreraza: This Is What Is Wrong With Mnangagwa,https://www.zimeye.net/2019/03/31/goreraza-this-is-what-is-wrong-with-mnangagwa/,"Emmerson Mnangagwa. This is what is wrong with Mnangagwa : 1) He finds nothing wrong with appointing SB Moyo’s wife Chair of the Anti Corruption Commission, itself a corrupt move.

2) He finds nothing wrong with awarding Mary Chiwenga a contract to handle Government VIP travelling arrangements, itself corruption of the worst kind.",2019-03-31 05:35:00,en,Conflict,"['Conflict', 'Security']",3.52931591540783 31.670512845154,Goreraza: This Is What Is Wrong With Mnangagwa,"Emmerson Mnangagwa. This is what is wrong with Mnangagwa : 1) He finds nothing wrong with appointing SB Moyo’s wife Chair of the Anti Corruption Commission, itself a corrupt move.

2) He finds nothing wrong with awarding Mary Chiwenga a contract to handle Government VIP travelling arrangements, itself corruption of the worst kind.","['Mary Chiwenga', 'Emmerson Mnangagwa']",2,3.52931591540783,31.670512845154,Uganda,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.09433962264150943,0.0,"['Mary Chiwenga', 'Emmerson Mnangagwa', 'Mary Chiwenga', 'Emmerson Mnangagwa']"
"Govt pleads with Chamisa 6,508",https://www.dailynews.co.zw/articles/2019/03/27/govt-pleads-with-chamisa,"In an interview with the Daily News, government spokesperson Nick Mangwana said they are laying the foundation for employment creation and pleaded with the opposition not to take the demonstrations path. “From the government side we are doing all that is in our power to ensure that Zimbabweans work.",2019-03-30 16:24:00,en,Conflict,"['Conflict', 'Security']",-17.8292 31.054,"Govt pleads with Chamisa 6,508","In an interview with the Daily News, government spokesperson Nick Mangwana said they are laying the foundation for employment creation and pleaded with the opposition not to take the demonstrations path. “From the government side we are doing all that is in our power to ensure that Zimbabweans work.","['ZANU PF', 'Nick Mangwana', 'Daily News']",2,-17.8292,31.054,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.061224489795918366,0.02040816326530612,"['ZANU PF', 'Nick Mangwana', 'Daily News', 'ZANU PF', 'Nick Mangwana', 'Daily News']"
Mnangagwa Fires Warning Shots At Protestors,https://www.zimeye.net/2019/03/30/mnangagwa-fires-warning-shots-at-protestors/,"By Own Correspondent| President Emmerson Mnangagwa has warned protestors revealing that government is set to come up with measures to outlaw violent demonstrations in the country. Addressing the 111th Zanu PF central committee meeting in Harare on Friday, Mnangagwa said government will not fold its....",2019-03-30 09:20:00,en,Conflict,['Conflict'],-17.8593282090648 31.0650448216921,Mnangagwa Fires Warning Shots At Protestors,"By Own Correspondent| President Emmerson Mnangagwa has warned protestors revealing that government is set to come up with measures to outlaw violent demonstrations in the country. Addressing the 111th Zanu PF central committee meeting in Harare on Friday, Mnangagwa said government will not fold its....","['Emmerson Mnangagwa', 'ZANU PF', 'Privacy Policy']",1,-17.8593282090648,31.0650448216921,Zimbabwe,0.022222222222222223,0.044444444444444446,0.0,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.08888888888888889,0.022222222222222223,"['Emmerson Mnangagwa', 'ZANU PF', 'Privacy Policy']"
109e compagnie mandoto – Un caporal succombe en plein service,https://www.lexpressmada.com/30/03/2019/109e-compagnie-mandoto-un-caporal-succombe-en-plein-service/,"La mort a happé un caporal de la 109e compagnie militaire à Mandoto. Mercredi, à l’aube, le défunt a été retrou­vé mort. D’après les informations communiquées, le sous-officier était chargé de la surveillance du camp dans lequel il travaillait avant qu’il ne soit retrouvé mort.",2019-03-30 04:31:00,fr,Conflict,['Conflict'],-22.36404 47.842701,109th company mandoto – a caporal succumbs in full service,109th company mandoto – a caporal succumbs in full service,[],1,-22.36404,47.842701,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
"Govt pleads with Chamisa 6,146",https://www.dailynews.co.zw/articles/2019/03/27/govt-pleads-with-chamisa,"In an interview with the Daily News, government spokesperson Nick Mangwana said they are laying the foundation for employment creation and pleaded with the opposition not to take the demonstrations path. “From the government side we are doing all that is in our power to ensure that Zimbabweans work.",2019-03-29 05:01:00,en,Conflict,"['Conflict', 'Security']",-17.8292 31.054,109th company mandoto – a caporal succumbs in full service,109th company mandoto – a caporal succumbs in full service,"['ZANU PF', 'Nick Mangwana', 'Daily News']",2,-17.8292,31.054,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['ZANU PF', 'Nick Mangwana', 'Daily News', 'ZANU PF', 'Nick Mangwana', 'Daily News']"
Chad – where social media has been cut for a year,https://nehandaradio.com/2019/03/29/chad-where-social-media-has-been-cut-for-a-year/,"Activists in Chad are demanding that the government restore access to social media after it was cut off a year ago. The restrictions were introduced on 28 March 2018 – shortly after the conclusion of a national conference which recommended changes to the constitution, to allow President Idriss Deby to remain in power until 2033.",2019-03-29 02:08:00,en,Conflict,"['Conflict', 'TerroristAttack', 'Security']",12.1041 15.0505,109th company mandoto – a caporal succumbs in full service,109th company mandoto – a caporal succumbs in full service,"['Oumar Yaya Hissein', 'French military', 'Facebook', 'British Broadcasting Corporation', 'Idriss Deby']",3,12.1041,15.0505,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Oumar Yaya Hissein', 'French military', 'Facebook', 'British Broadcasting Corporation', 'Idriss Deby', 'Oumar Yaya Hissein', 'French military', 'Facebook', 'British Broadcasting Corporation', 'Idriss Deby', 'Oumar Yaya Hissein', 'French military', 'Facebook', 'British Broadcasting Corporation', 'Idriss Deby']"
August 1 violence: 36 MDC activists removed from remand,https://nehandaradio.com/2019/03/28/august-1-violence-36-mdc-activists-removed-from-remand/,"MDC activists in jubilant mood at the Harare Magistrates Court, 27 March 2019, after they were removed from remand. (Picture by Stephen Jensen for Nehanda Radio) The accused were represented by Advocate Moses Nkomo, Gift Mtisi and Gugulethu Mahlangu from the Zimbabwe Lawyers for Human Rights (ZLHR).",2019-03-28 18:32:00,en,Conflict,"['Conflict', 'EPElection']",37.97895 -121.261002,109th company mandoto – a caporal succumbs in full service,109th company mandoto – a caporal succumbs in full service,"['Electoral Commission', 'Zimbabwe Electoral Commission', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Democratic Change', 'Steffen Jensen']",1,37.97895,-121.261002,United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Electoral Commission', 'Zimbabwe Electoral Commission', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Democratic Change', 'Steffen Jensen']"
Car bomb outside Somali hotel kills at least 11 people,https://www.reportfocusnews.com/african-news/car-bomb-outside-somali-hotel-kills-at-least-11-people/,"A car bomb exploded near a hotel and restaurants in Mogadishu on Thursday, killing at least 11 people in a busy area targeted in the past by Islamist militants, rescue services said. The afternoon explosion sent smoke billowing into the sky and destroyed two restaurants and some cars parked in the area.",2019-03-28 15:23:00,en,Conflict,"['Conflict', 'TerroristAttack', 'Security']",2.04118 45.3441,109th company mandoto – a caporal succumbs in full service,109th company mandoto – a caporal succumbs in full service,"['African Union', 'Mohammed Hussein', 'Al Shabab', 'Al Shabab', 'Al Qaeda']",3,2.04118,45.3441,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['African Union', 'Mohammed Hussein', 'Al Shabab', 'Al Shabab', 'Al Qaeda', 'African Union', 'Mohammed Hussein', 'Al Shabab', 'Al Shabab', 'Al Qaeda', 'African Union', 'Mohammed Hussein', 'Al Shabab', 'Al Shabab', 'Al Qaeda']"
L'illusion de la « putsch-thérapie » en Afrique,https://www.madagascar-tribune.com/L-illusion-de-la-putsch-therapie-en-Afrique.html,La dernière tentative de coup d’état en date du 7 janvier 2019 au Gabon a ramené le débat sur une pratique qui pendant toute la seconde moitié du XXe siècle s’était presque imposée comme « mode normal » d’accession au pouvoir en Afrique. Dans un environnement africain où la démocratie et....,2019-03-28 07:35:00,fr,Conflict,['Conflict'],7.18810087117902 21.09375,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Amadou Toumani Toure', 'Amadou Toumani Toure', 'Amadou Toumani Toure', 'African Union', 'Abiy Ahmed', 'Jerry Rawlings', 'Uhuru Kenyatta', 'Sani Abacha', 'Jonathan Powell', 'Alain Antil']",1,7.18810087117902,21.09375,Central African Republic,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Amadou Toumani Toure', 'Amadou Toumani Toure', 'Amadou Toumani Toure', 'African Union', 'Abiy Ahmed', 'Jerry Rawlings', 'Uhuru Kenyatta', 'Sani Abacha', 'Jonathan Powell', 'Alain Antil']"
South Africans Lack Depth in Their Justification of Violence Towards Foreigners,https://www.zimeye.net/2019/03/27/south-africans-lack-depth-in-their-justification-of-violence-towards-foreigners/,"BY PEPUKAI BEGEDE | (THE SCRIBE) | Greetings to the aggrieved families of those seeking refreshments in a nation drumming up violence against the sons and daughters of the land, we greet even those whose faces are heavily loaded with murderous rage as they seek to wound and kill the seekers of harmony and peace.",2019-03-27 19:45:00,en,Conflict,"['Conflict', 'Asylum', 'Migration']",-28.9972870207938 25.0892288944874,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa",[],1,-28.9972870207938,25.0892288944874,South Africa,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,[]
Zapu fights for seized properties,https://nehandaradio.com/2019/03/27/zapu-fights-for-seized-properties/,"This comes as a former stalwart in the military wing of Zapu, the Zimbabwe People’s Revolutionary Army (Zipra) — retired colonel Tshinga Dube — has said that the unity accord which ended hostilities between PF Zapu and Zanu PF meant that the former could no longer make any claims about the disputed properties.",2019-03-27 17:08:00,en,Conflict,['Conflict'],51.4879 -0.177998,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Tshinga Dube', 'Sports Stadium', 'Robert Mugabe', 'Emmerson Mnangagwa', 'ZANU PF', 'Joshua Nkomo', 'Central Intelligence', 'Daily News']",3,51.4879,-0.177998,United Kingdom,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Tshinga Dube', 'Sports Stadium', 'Robert Mugabe', 'Emmerson Mnangagwa', 'ZANU PF', 'Joshua Nkomo', 'Central Intelligence', 'Daily News', 'Tshinga Dube', 'Sports Stadium', 'Robert Mugabe', 'Emmerson Mnangagwa', 'ZANU PF', 'Joshua Nkomo', 'Central Intelligence', 'Daily News', 'Tshinga Dube', 'Sports Stadium', 'Robert Mugabe', 'Emmerson Mnangagwa', 'ZANU PF', 'Joshua Nkomo', 'Central Intelligence', 'Daily News']"
Mnangagwa's govt is wary of Chamisa's mass protests,https://bulawayo24.com/news/national/159208,PRESIDENT Emmerson Mnangagwa's government is wary of mass protests and is working around the clock to create the much-needed jobs for the youths. This comes after the opposition led by Nelson Chamisa warned that the country could slide into total anarchy unless the thorny issue of youth unemployment is addressed.,2019-03-27 16:52:00,en,Conflict,"['Conflict', 'Security']",-17.8292 31.054,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News']",2,-17.8292,31.054,Zimbabwe,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News']"
Zapu's seized properties now officially belong to Zanu-PF,https://bulawayo24.com/news/national/159205,"THE Dumiso Dabengwa-led Zapu has reacted angrily to claims that its properties which were seized by the government during the early 1980s now officially belong to the ruling Zanu-PF. This comes as a former stalwart in the military wing of Zapu, the Zimbabwe People's Revolutionary Army (Zipra) -....",2019-03-27 16:52:00,en,Conflict,['Conflict'],51.4879 -0.177998,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Tshinga Dube', 'Sports Stadium', 'Robert Mugabe', 'Emmerson Mnangagwa', 'Dumiso Dabengwa', 'ZANU PF', 'Joshua Nkomo', 'Central Intelligence', 'Daily News']",1,51.4879,-0.177998,United Kingdom,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Tshinga Dube', 'Sports Stadium', 'Robert Mugabe', 'Emmerson Mnangagwa', 'Dumiso Dabengwa', 'ZANU PF', 'Joshua Nkomo', 'Central Intelligence', 'Daily News']"
Govt pleads with Chamisa,https://www.zimbabwesituation.com/news/govt-pleads-with-chamisa/,Source: Govt pleads with Chamisa | Daily News PRESIDENT Emmerson Mnangagwa’s government is wary of mass protests and is working around the clock to create the much-needed jobs for the youths. This comes after the opposition led by Nelson Chamisa warned that the country could slide into total anarchy....,2019-03-27 15:43:00,en,Conflict,"['Conflict', 'Security']",-17.8292 31.054,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News']",6,-17.8292,31.054,Zimbabwe,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'ZANU PF', 'Nick Mangwana', 'Daily News']"
3 die in fresh SA xenophobic attacks after Ramaphisa threat,https://bulawayo24.com/news/national/159163,"SUSPECTED fresh xenophobic attacks in South Africa have resurfaced in some parts of Limpopo province and Durban in KwaZulu Natal, leaving three people dead and several houses burnt to ashes. The Durban attacks come barely a day after the South African government launched a national action plan to....",2019-03-27 08:20:00,en,Conflict,"['Conflict', 'PoliticalUnrest']",-29.8364 30.9422,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Jacob Zuma', 'South African government', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development']",2,-29.8364,30.9422,South Africa,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Jacob Zuma', 'South African government', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development', 'Jacob Zuma', 'South African government', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development']"
Three People Killed In South Africa Xenophobia Attacks,https://www.zimeye.net/2019/03/27/three-people-killed-in-south-africa-xenophobia-attacks/,"SUSPECTED fresh xenophobic attacks in South Africa have resurfaced in some parts of Limpopo province and Durban in KwaZulu Natal, leaving three people dead and several houses burnt to ashes. The Durban attacks come barely a day after the South African government launched a national action plan to....",2019-03-27 07:06:00,en,Conflict,"['Conflict', 'PoliticalUnrest']",-29.8364 30.9422,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Jacob Zuma', 'South African government', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development']",2,-29.8364,30.9422,South Africa,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Jacob Zuma', 'South African government', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development', 'Jacob Zuma', 'South African government', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development']"
3 die in fresh SA xenophobic attacks,https://nehandaradio.com/2019/03/27/3-die-in-fresh-sa-xenophobic-attacks/,"In a telephone interview with The Chronicle yesterday, South African police spokesperson for KwaZulu Natal province, Colonel Thulani Zwane, confirmed the latest development, saying two protesters were shot dead after one of the affected foreign shop owners opened fire during the skirmishes.",2019-03-27 06:30:00,en,Conflict,"['Conflict', 'PoliticalUnrest']",-5.805919 -35.210541,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Jacob Zuma', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development']",2,-5.805919,-35.210541,Brazil,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Jacob Zuma', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development', 'Jacob Zuma', 'John Jeffery', 'Goodwill Zwelithini', 'Constitutional Development']"
Chamisa warns of civil unrest,https://www.thezimbabwemail.com/political-violence-alert/chamisa-warns-of-civil-unrest/,"OPPOSITION leader Nelson Chamisa, pictured, has warned President Emmerson Mnangagwa and government that the high levels of unemployment could lead to yet another civil unrest unless they quickly address the deepening economic crisis. This comes as the stabilisation measures unveiled by government....",2019-03-26 23:41:00,en,Conflict,['Conflict'],-20.1722 28.5812,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News']",6,-20.1722,28.5812,Zimbabwe,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News', 'Nelson Chamisa', 'Emmerson Mnangagwa', 'Robert Mugabe', 'Daily News']"
Mnangagwa's abuse of Ndebele leaders condemned,https://bulawayo24.com/opinion/columnist/159108,1893 MHRRM condemns Mnangagwa's use of instrumental power over some of Matebeleland's Civic Organizations The 1893 MHRRM issues a statement of grave concerning regarding Mnangagwa's meeting with Matebeleland civic organisations against the backdrop of a climate of heightened and accelerated human....,2019-03-26 14:10:00,en,Conflict,"['UNbodies', 'Society', 'Conflict', 'Comms-UDHR']",-17.8593282090648 31.0650448216921,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Robert Gabriel', 'United Nations', 'Robert Mugabe', 'Jenni Williams']",3,-17.8593282090648,31.0650448216921,Zimbabwe,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Robert Gabriel', 'United Nations', 'Robert Mugabe', 'Jenni Williams', 'Robert Gabriel', 'United Nations', 'Robert Mugabe', 'Jenni Williams', 'Robert Gabriel', 'United Nations', 'Robert Mugabe', 'Jenni Williams']"
Chamisa warns Mnangagwa of civil unrest,https://bulawayo24.com/news/national/159096,"Opposition leader Nelson Chamisa has warned President Emmerson Mnangagwa and government that the high levels of unemployment could lead to yet another civil unrest unless they quickly address the deepening economic crisis.

This comes as the stabilisation measures unveiled by government are....",2019-03-26 07:55:00,en,Conflict,"['Security', 'Conflict']",,"The illusion of ""putsch-thérapie’ in africa","The illusion of ""putsch-thérapie’ in africa","['Nelson Chamisa', 'Emmerson Mnangagwa']",2,,,,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,"['Nelson Chamisa', 'Emmerson Mnangagwa', 'Nelson Chamisa', 'Emmerson Mnangagwa']"
Fusillade à Toliara – Des dizaines de fuyards recherchés,https://www.lexpressmada.com/26/03/2019/fusillade-a-toliara-des-dizaines-de-fuyards-recherches/,"La gendarmerie lance des recherches après qu’une onde de choc s’est abattue dans les mangroves de Saint Augustin, à Toliara II, mardi soir, aux alentours de 20 heures. Alors qu’une fusillade survenue dans le site d’élevage de concombres de mer d’une société d’exportation, sise dans le village côtier....",2019-03-26 03:41:00,fr,Conflict,['Conflict'],-23.35479 43.66312,Shooting at Toliara – tens of fuyards sought,Shooting at Toliara – tens of fuyards sought,[],1,-23.35479,43.66312,Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
Mnangagwa is a worse devil than Mugabe,https://bulawayo24.com/opinion/columnist/159036,Mnangagwa took over the presidency of Zanu PF and Zimbabwe in the background of a November 2017 coup that toppled long serving president Robert Mugabe. The people of Zimbabwe and the international community celebrated the demise of Mugabe because of the tyranny that he was.,2019-03-25 13:57:00,en,Conflict,"['Conflict', 'EU-Africa']",51.4879 -0.177998,Shooting at Toliara – tens of fuyards sought,Shooting at Toliara – tens of fuyards sought,"['Mary Chiwenga', 'Robert Mugabe', 'Emmerson Mnangagwa', 'ZANU PF', 'EU', 'Air Zimbabwe']",1,51.4879,-0.177998,United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Mary Chiwenga', 'Robert Mugabe', 'Emmerson Mnangagwa', 'ZANU PF', 'EU', 'Air Zimbabwe']"
Israel rocket attack: Six wounded north of Tel Aviv,https://clubofmozambique.com/news/israel-rocket-attack-six-wounded-north-of-tel-aviv/,"A rocket fired from Gaza has struck a home in central Israel wounding six people, Israeli officials said. The sounds of air raid sirens woke up the residents of Sharon area on Monday and a loud explosion followed. The Israeli military said it identified a rocket fired from the Gaza Strip and was investigating.",2019-03-25 08:34:00,en,Conflict,"['UNbodies', 'TerroristAttack', 'Conflict']",38.9051 -77.0162,Shooting at Toliara – tens of fuyards sought,Shooting at Toliara – tens of fuyards sought,"['Palestinian Authority', 'United Nations', 'Hamas', 'Benjamin Netanyahu', 'Al Jazira', 'Fatah', 'Shin Bet', 'Jerusalem Post', 'Jerusalem Post']",2,38.9051,-77.0162,United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Palestinian Authority', 'United Nations', 'Hamas', 'Benjamin Netanyahu', 'Al Jazira', 'Fatah', 'Shin Bet', 'Jerusalem Post', 'Jerusalem Post', 'Palestinian Authority', 'United Nations', 'Hamas', 'Benjamin Netanyahu', 'Al Jazira', 'Fatah', 'Shin Bet', 'Jerusalem Post', 'Jerusalem Post']"
ED pledges support for Gukurahundi victims,https://www.zimbabwesituation.com/news/ed-pledges-support-for-gukurahundi-victims/,"By NQOBANI NDLOVU. PRESIDENT Emmerson Mnangagwa on Thursday pledged to ensure the capacitation of the Home Affairs ministry with resources for the documentation exercise of Gukurahundi victims without identity particulars.

This emerged during a meeting Mnangagwa had with Matabeleland civic society....",2019-03-24 19:35:00,en,Conflict,['Conflict'],-20.1722 28.5812,Shooting at Toliara – tens of fuyards sought,Shooting at Toliara – tens of fuyards sought,"['Development Trust', 'Emmerson Mnangagwa', 'State House', 'Ministry of Home Affairs', 'Social Welfare']",2,-20.1722,28.5812,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Development Trust', 'Emmerson Mnangagwa', 'State House', 'Ministry of Home Affairs', 'Social Welfare', 'Development Trust', 'Emmerson Mnangagwa', 'State House', 'Ministry of Home Affairs', 'Social Welfare']"
Thailand’s turbulent political history,https://clubofmozambique.com/news/thailands-turbulent-political-history/,"Violent demonstrations, multiple coups and a cryptic election eve message from the king. Thailand’s unpredictable political history has few rivals. The country’s election Sunday is the first since a 2014 coup. Here is a brief look at two turbulent decades in Thai politics.",2019-03-24 18:32:00,en,Conflict,"['UNbodies', 'Conflict']",40.6222 -73.9878,Shooting at Toliara – tens of fuyards sought,Shooting at Toliara – tens of fuyards sought,"['Prayuth Chan ocha', 'Prayuth Chan ocha', 'Thai Raksa', 'Abhisit Vejjajiva', 'Maha Vajiralongkorn', 'Bhumibol Adulyadej', 'King Bhumibol', 'Thaksin Shinawatra']",1,40.6222,-73.9878,United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Prayuth Chan ocha', 'Prayuth Chan ocha', 'Thai Raksa', 'Abhisit Vejjajiva', 'Maha Vajiralongkorn', 'Bhumibol Adulyadej', 'King Bhumibol', 'Thaksin Shinawatra']"
Mnangagwa pledges support for Gukurahundi victims,https://bulawayo24.com/news/national/158940,PRESIDENT Emmerson Mnangagwa on Thursday pledged to ensure the capacitation of the Home Affairs ministry with resources for the documentation exercise of Gukurahundi victims without identity particulars. This emerged during a meeting Mnangagwa had with Matabeleland civic society organisations (CSOs)....,2019-03-24 15:53:00,en,Conflict,['Conflict'],-20.1722 28.5812,Shooting at Toliara – tens of fuyards sought,Shooting at Toliara – tens of fuyards sought,"['Development Trust', 'Emmerson Mnangagwa', 'State House', 'Ministry of Home Affairs', 'Social Welfare']",1,-20.1722,28.5812,Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Development Trust', 'Emmerson Mnangagwa', 'State House', 'Ministry of Home Affairs', 'Social Welfare']"
